id,id_type,creation_timestamp,atm_id,original_amount,amount,merchant,mcc_group,mcc_category,original_currency,interchange_amount,fee_amount,terminal_type,trans_type,address_city,address_country,address_name,pos_data_code,uid,sv_trace,response_code,is_reversal,udate,group_name
J52316,eq_id,1383508800,033851  ,29750,297,5331,8,R,810,0,0,2,774,B,RU,MAGAZIN STROYKA,511101515001,102297069186,102297069186,-1,False,20131104,Retail Stores
J52316,eq_id,1383595200,00986350,23300,233,5814,11,F,810,0,0,2,774,MOSCOW,RU,VESTA NOVORYAZANSKAYA,510Z0151ZZZZ,102298642417,102298642417,-1,False,20131105,Miscellaneous Stores
J52316,eq_id,1395950400,00165304,46395,463,4814,6,T,810,0,0,8,508,MOSCOW,RU,BEELINE,600550S00130,102685288148,102685288148,-1,False,20140328,Utilities
J52316,eq_id,1383508800,13243005,209364,2093,5541,9,R,810,0,0,2,774,MOSCOW,RU,SHELL NEFT PRIVOLNAYA 10,510Z0151ZZZZ,102297103065,102297103065,-1,False,20131104,Automobiles and Vehicles
J52316,eq_id,1388520000,RU660020,21211,212,5983,11,R,810,0,0,2,774,DOLGAYA OLSHA,RU,LUKOIL AZS 100,811101515001,102455738260,102455738260,-1,True,20140101,Miscellaneous Stores
J52316,eq_id,1388692800,10701003,1800,207,7997,17,R,440,0,0,2,774,DRUSKININKU,LT,GMR BARAS NEMUNO TAKAS,510101505001,102458154417,102458154417,-1,False,20140103,Amusement and Entertainment
J52316,eq_id,1381003200,405761  ,251267,2512,5983,11,R,810,0,0,2,774,KRASKOVO,RU,KRASKOVO,511101515001,102224628439,102224628439,-1,False,20131006,Miscellaneous Stores
J52316,eq_id,1377720000,26001789,12000,120,5814,11,F,810,0,0,2,774,MOSKVA,RU,MCDONALDS 11014,810101515001,102133962595,102133962595,-1,False,20130829,Miscellaneous Stores
J52316,eq_id,1374782400,QE002339,560,224,4789,5,X,978,0,0,2,774,AMSTERDAM,NL,GVB Bijlmer L-121,810101515001,102056605587,102056605587,-1,False,20130726,Transportation
J52316,eq_id,1375473600,11041901,15000,6011,7311,15,R,978,0,0,2,774,NEUILLY SUR S,FR,VELIB AUTOMATE,510401505001,102073690294,102073690294,-1,False,20130803,Business Services
J52316,eq_id,1398715200,124320,1,0,6012,13,R,810,0,0,8,785,MOSKVA,RU,CARD2CARD OPP PEREVOD,6005106V0130,102774894910,102774894822,-1,False,20140429,Service Providers
